gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,PaperlessBilling,MonthlyCharges,TotalCharges,Churn,charge_per_tenure,total_services,is_new_customer,is_high_value,no_support_services,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check
1,0,1,1,0.18055555555555555,1,1,0.3154228855721393,0.0676411661753869,0,0.04099334009240091,0.25,0,0,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1,0,0,0,0.2222222222222222,1,0,0.006965174129353213,0.03762896094325719,0,0.010551787754326584,0.125,0,0,0,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False
1,0,1,0,0.8055555555555555,1,0,0.8169154228855721,0.6541428703021372,0,0.017825313740475062,0.625,0,1,1,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,True,False,True,False,False
1,0,0,0,0.6805555555555555,1,1,0.8502487562189055,0.5798982129697864,1,0.02245582423186435,0.75,0,1,1,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,False,False
1,0,0,0,0.3472222222222222,1,1,0.8681592039800995,0.3092817336035373,0,0.04707178419302851,0.75,0,1,0,False,False,True,False,False,True,False,False,False,True,False,True,False,True,False,True,False,False,False,True,False
0,0,1,1,0.9583333333333333,1,0,0.945273631840796,0.9090767778187179,0,0.01679547344839938,1.0,0,1,0,False,True,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,False,False
0,0,0,0,0.7222222222222222,1,0,0.023880597014925342,0.11778624723655123,0,0.0015541120785667714,0.125,0,0,0,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True
1,0,0,1,0.986111111111111,1,0,0.8800995024875623,0.8500195744288874,0,0.015108910704083033,0.75,0,1,0,False,True,True,False,False,True,False,False,False,True,False,False,False,True,False,True,False,True,False,False,False
0,0,1,1,0.1388888888888889,1,0,0.36766169154228856,0.06083617354458365,1,0.058990654494458,0.375,1,0,0,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False
0,0,0,0,0.29166666666666663,1,1,0.7144278606965173,0.21450119749447313,0,0.04751217929153419,0.5,0,1,1,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False
1,1,0,0,0.013888888888888888,0,1,0.21293532338308457,0.004565447678703022,1,0.24273086566656754,0.25,1,0,1,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False
1,0,1,0,0.16666666666666666,1,0,0.015422885572139305,0.0232878131908622,0,0.015619330310588654,0.125,1,0,0,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False
1,0,0,0,0.013888888888888888,1,0,0.018905472636815884,0.002320145541635962,1,0.12174153244655986,0.125,1,0,0,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True
0,0,1,0,0.8055555555555555,1,1,0.4144278606965174,0.4035901805453206,0,0.009317676141606203,0.5,0,0,0,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,True,False,False
1,0,1,1,0.6805555555555555,1,0,0.4114427860696518,0.3420113301400148,0,0.011510943011346733,0.5,0,0,0,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False
0,0,0,0,0.41666666666666663,1,1,0.3686567164179104,0.1762389462048637,0,0.01885556595897519,0.375,0,0,0,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
1,0,1,1,0.6527777777777778,1,1,0.8069651741293532,0.5468346997052321,1,0.022403602340175376,0.625,0,1,1,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False
1,0,1,1,0.013888888888888888,0,0,0.11890547263681589,0.0034773397199705236,1,0.1840975734137946,0.125,1,0,1,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
1,0,1,0,1.0,1,1,0.7164179104477612,0.7334020357406044,0,0.0120606859037015,1.0,0,1,0,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,False,False
0,0,0,1,0.2361111111111111,1,1,0.4621890547263682,0.1258635777450258,1,0.04132326623508469,0.375,0,0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True
0,1,1,0,0.986111111111111,1,1,0.7771144278606964,0.7791716562269714,0,0.013325093611736763,0.75,0,1,0,False,True,True,False,False,True,False,True,False,True,False,True,False,False,False,False,False,True,True,False,False
1,1,1,0,0.027777777777777776,1,1,0.7686567164179104,0.02091585298452469,0,0.3917442239315513,0.5,1,1,1,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False
0,0,1,1,0.375,1,0,0.47661691542288565,0.21583110722181287,0,0.02603586757893843,0.625,0,0,0,False,False,False,False,False,True,False,True,False,True,False,True,False,False,False,False,True,False,False,False,True
1,0,0,0,0.013888888888888888,1,0,0.019402985074626844,0.0023259027266028004,0,0.12205176150609837,0.125,1,0,0,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False
1,1,0,0,0.013888888888888888,1,0,0.26865671641791045,0.005210252394988947,0,0.2774765203348774,0.125,1,0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0,0,1,1,1.0,1,0,0.8124378109452737,0.8349875644804717,0,0.013701075177425527,0.75,0,1,0,False,True,True,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False
1,0,0,0,0.06944444444444445,1,1,0.5119402985074627,0.03648903831982314,1,0.14087232445143288,0.125,1,0,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
0,0,0,0,0.6388888888888888,1,1,0.5626865671641791,0.4085643883566692,0,0.016468271370405903,0.25,0,1,1,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
1,0,0,0,0.4722222222222222,1,1,0.8766169154228854,0.4086737748710391,1,0.03442534771760049,0.75,0,1,1,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False
0,0,0,0,0.15277777777777776,1,1,0.7920398009950248,0.1272798452468681,1,0.09790559970535324,0.625,1,1,1,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False
1,0,1,1,0.1388888888888889,1,0,0.3114427860696517,0.05477385777450258,0,0.05261685745303101,0.25,1,0,1,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True
0,0,1,1,0.9722222222222222,1,1,0.5069651741293533,0.5610204034635226,0,0.008813785351178938,0.625,0,0,0,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,True,False,False
0,0,1,1,0.2361111111111111,1,0,0.02487562189054726,0.048158852247605015,0,0.01102422808682636,0.125,0,0,0,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True
0,0,0,0,0.875,1,1,0.6129353233830845,0.5597653371407517,0,0.012201590455144278,0.875,0,1,0,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,False,False,True,True,False,False
0,0,1,0,0.18055555555555555,1,1,0.5766169154228856,0.11300778371407519,0,0.06426051955778701,0.75,0,1,0,False,True,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False
0,0,0,0,0.6805555555555555,1,1,0.6592039800995024,0.44983189019896835,0,0.01769070587735328,0.375,0,1,1,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
1,0,0,0,0.027777777777777776,1,0,0.30845771144278605,0.011168938835666914,0,0.2004363038828213,0.25,1,0,1,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
0,0,0,0,0.027777777777777776,1,1,0.6208955223880598,0.01659796425939573,1,0.3303188701429321,0.25,1,1,1,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
1,0,0,0,0.7222222222222222,1,1,0.6119402985074627,0.48565309506263826,0,0.015391498809679405,0.75,0,1,0,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False,True,False,True,True,False,False
0,0,1,1,0.9583333333333333,1,1,0.4567164179104478,0.4898328113485631,0,0.008091332406491134,0.625,0,0,0,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,True,True,False,False
0,1,0,0,0.5972222222222222,1,1,0.7164179104477612,0.4420078758290347,0,0.022172105655595527,0.5,0,1,1,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False
0,0,0,0,0.20833333333333331,1,1,0.8044776119402984,0.16424097273397203,1,0.07357847095321067,0.625,0,1,0,False,False,True,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False
0,1,1,0,0.3472222222222222,1,1,0.5099502487562189,0.201806604642594,0,0.029889867049358785,0.625,0,0,0,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False
0,1,1,0,0.1111111111111111,1,1,0.6208955223880598,0.0729205047899779,1,0.10791910434934535,0.375,1,1,1,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
0,1,1,1,0.8333333333333333,1,1,0.56318407960199,0.5131206245394253,0,0.011945873981375109,0.75,0,1,0,False,False,False,False,False,True,False,True,False,True,False,True,False,False,False,True,True,False,True,False,False
1,1,0,0,0.25,1,1,0.7681592039800995,0.2017950902726603,1,0.0590589345745478,0.5,0,1,1,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False
0,0,1,1,0.875,1,1,0.8099502487562189,0.7266949152542374,0,0.016040675066932988,0.625,0,1,0,False,True,True,False,False,True,False,False,False,False,False,False,False,True,False,True,True,False,True,False,False
1,1,1,1,0.9166666666666666,1,1,0.8975124378109453,0.8147971168017688,0,0.01680539548655093,0.875,0,1,0,False,True,True,False,False,False,False,True,False,True,False,True,False,True,False,True,True,False,False,True,False
0,0,1,1,0.4722222222222222,1,0,0.06666666666666665,0.10297301031687547,0,0.0055651814931063585,0.25,0,0,0,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False
0,0,0,0,1.0,1,1,0.8880597014925372,0.9043040714812086,0,0.0149929879733118,0.75,0,1,0,False,True,True,False,False,False,False,False,False,True,False,True,False,True,False,True,False,True,True,False,False
0,0,1,0,0.6527777777777778,1,1,0.818407960199005,0.541992907148121,0,0.022700905188899754,0.625,0,1,1,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False
1,0,0,0,0.8333333333333333,1,1,0.7129353233830846,0.6276137619749448,0,0.015007478798459794,0.5,0,1,1,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
1,0,1,0,1.0,0,0,0.2373134328358209,0.3410556374355196,0,0.0038757383876588335,0.375,0,0,0,True,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False
0,0,1,1,0.25,1,1,0.3597014925373134,0.11020403463522478,0,0.03224861269232748,0.375,0,0,0,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,True,False,False
0,0,0,0,0.125,1,0,0.7577114427860697,0.09870693625644807,1,0.11386171433428247,0.5,1,1,1,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False
0,0,0,0,0.041666666666666664,1,1,0.5676616915422885,0.02810657700810612,0,0.2303217032850283,0.625,1,1,0,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,True,False,False,False,True,False
1,0,1,0,0.6527777777777778,1,1,0.6034825870646766,0.42031480287398676,0,0.017116782117207092,0.375,0,1,1,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False
0,0,0,0,0.4305555555555555,1,0,0.6064676616915423,0.28753684598378776,0,0.02743189834686159,0.75,0,1,0,False,False,False,False,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,False,True
0,0,1,1,0.6944444444444444,1,0,0.018905472636815884,0.10718726971260134,0,0.001622057177807164,0.125,0,0,0,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False
1,0,0,0,0.1388888888888889,1,1,0.6129353233830845,0.1021727616064849,0,0.0867984592858164,0.375,1,1,0,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
1,0,0,0,0.013888888888888888,1,0,0.30646766169154227,0.005647798452468681,0,0.301053928859802,0.25,1,0,0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
0,0,1,1,0.7222222222222222,1,1,0.021393034825870627,0.12558147568165073,0,0.0014955782937481903,0.125,0,0,0,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False
1,1,1,1,0.8888888888888888,1,1,0.9288557213930347,0.8174051215917466,0,0.018024798710702415,0.875,0,1,0,False,True,True,False,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,False,False
1,0,1,1,0.861111111111111,1,1,0.05970149253731341,0.16403371407516582,0,0.0014957641152872976,0.25,0,0,0,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False
0,0,0,1,0.041666666666666664,1,1,0.46019900497512434,0.02042649226234341,0,0.19681696485487232,0.5,1,0,0,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
0,1,0,0,0.7777777777777777,1,0,0.917910447761194,0.7069247420781136,0,0.020775580104483302,0.875,0,1,0,False,True,True,False,False,True,False,True,False,True,False,False,False,True,False,True,True,False,False,True,False
0,0,0,0,0.6388888888888888,1,0,0.37213930348258706,0.3096041359616802,0,0.011412197761757465,0.25,0,0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False
0,0,1,1,0.1111111111111111,1,0,0.3621890547263681,0.055528049005158446,0,0.07207041302489861,0.375,1,0,0,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
1,1,0,0,0.41666666666666663,1,1,0.5621890547263682,0.2431028924097274,0,0.02664131461448933,0.625,0,1,0,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False
0,0,1,1,0.625,1,1,0.07611940298507458,0.1400838246131172,0,0.003706119402157745,0.25,0,0,0,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False
0,0,0,1,0.013888888888888888,1,1,0.607960199004975,0.009136652542372881,1,0.4890527389401215,0.25,1,1,1,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
0,0,1,1,0.15277777777777776,0,0,0.32139303482587056,0.06509649042004423,0,0.048992817984786025,0.375,1,0,0,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False
0,0,1,0,0.09722222222222221,1,1,0.5661691542288557,0.05721490420044216,1,0.11328779057413628,0.25,1,1,1,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
0,0,0,0,0.5833333333333333,1,1,0.8512437810945274,0.49828435887988215,0,0.026674362271244367,0.75,0,1,0,False,False,True,False,False,False,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False
0,0,1,0,0.6805555555555555,1,1,0.018905472636815884,0.11207511974944732,0,0.0017201138923122685,0.125,0,0,0,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False
1,0,0,0,0.125,1,1,0.8064676616915423,0.10578827376565955,0,0.11994220390123668,0.625,1,1,1,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False
0,0,1,0,0.4861111111111111,1,1,0.43681592039800987,0.25509510869565216,0,0.018142261508459292,0.375,0,0,0,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
0,0,1,1,0.6666666666666666,1,0,0.023880597014925342,0.12170689019896833,0,0.0019487970276292053,0.125,0,0,0,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False
0,0,1,1,0.6388888888888888,1,1,0.01691542288557213,0.10674972365512161,0,0.0019865148464180793,0.125,0,0,0,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,True
1,0,1,0,0.40277777777777773,0,0,0.154228855721393,0.11620877855563745,0,0.010679529131783605,0.125,0,0,1,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
1,0,1,1,0.41666666666666663,1,0,0.6348258706467661,0.2959423360353722,0,0.029563472207561472,0.375,0,1,1,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False
1,1,0,0,0.013888888888888888,1,0,0.5616915422885572,0.008601234340456891,0,0.46020143640304284,0.25,1,1,0,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
1,0,1,1,0.9166666666666666,1,1,0.654228855721393,0.6579598839351511,0,0.012276977274183249,0.875,0,1,0,False,True,False,False,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,False,True
0,0,0,0,0.9027777777777777,1,1,0.9233830845771144,0.8183262711864407,0,0.017598577247550946,0.875,0,1,0,False,True,True,False,False,True,False,True,False,True,False,False,False,True,False,True,False,False,True,False,False
1,0,0,0,1.0,1,1,0.8223880597014926,0.8588626105379515,0,0.013871063703200038,0.75,0,1,1,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,True,False,False,False
0,0,0,0,0.16666666666666666,1,1,0.6039800995024875,0.1067785095799558,1,0.07208101914659225,0.375,1,1,0,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1,0,1,1,0.986111111111111,1,1,0.4835820895522387,0.5467828850405306,0,0.008240784024856099,0.625,0,0,0,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,True,False,False
1,0,0,0,0.06944444444444445,1,0,0.027860696517412936,0.013109110169491527,1,0.04025469947445214,0.125,1,0,0,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True
1,0,0,0,0.7222222222222222,1,0,0.027363184079601977,0.1274871039056743,0,0.001636059377312786,0.125,0,0,0,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False
0,1,1,0,0.3472222222222222,1,1,0.7985074626865671,0.289528831982314,1,0.04373085585953718,0.625,0,1,1,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False
1,0,0,0,0.013888888888888888,1,0,0.019402985074626844,0.0023259027266028004,0,0.12205176150609837,0.125,1,0,0,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True
0,0,1,1,0.013888888888888888,1,0,0.011940298507462671,0.002239544952100221,0,0.11739832561302113,0.125,1,0,0,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,True,False
1,0,0,0,0.5277777777777778,1,0,0.763681592039801,0.4151621223286662,0,0.026946668279378323,0.625,0,1,0,False,True,True,False,False,False,False,False,False,True,False,True,False,True,False,False,True,False,False,False,False
0,1,1,0,0.9166666666666666,0,0,0.2716417910447761,0.34856876381724394,0,0.005155599758210351,0.375,0,0,1,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,False,False
1,0,1,0,0.9444444444444444,1,1,0.9129353233830845,0.8764565677966103,1,0.016501944089788435,0.875,0,1,0,False,True,True,False,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False
1,0,0,0,0.06944444444444445,0,0,0.06019900497512437,0.011537398673544585,0,0.0469763290977859,0.0,1,0,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
0,0,1,1,1.0,1,1,0.854726368159204,0.840900193441415,0,0.014423526411967194,0.75,0,1,0,False,True,True,False,False,True,False,True,False,False,False,False,False,True,False,True,True,False,False,True,False
0,0,0,0,0.4444444444444444,0,0,0.11840796019900496,0.10681305268975683,0,0.008056683446594628,0.125,0,0,0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True
1,0,0,0,0.5972222222222222,1,0,0.7572139303482587,0.45151298820928526,0,0.02332841396842077,0.5,0,1,1,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,True
1,0,1,1,1.0,1,0,0.011442786069651711,0.15696964812085484,0,1.699885257745032e-05,0.125,0,0,0,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False
1,0,1,0,0.7638888888888888,1,1,0.7810945273631841,0.6032263264554164,1,0.01815826538851485,0.625,0,1,0,False,True,True,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False
0,0,0,0,0.7222222222222222,1,0,0.3950248756218906,0.35029591930729553,0,0.010287352773499112,0.5,0,0,0,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,True,False,False
0,0,0,0,0.5972222222222222,1,1,0.7303482587064677,0.45528970154753134,0,0.022566942640462682,0.5,0,1,1,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False
0,1,1,0,0.5138888888888888,1,1,0.5796019900497512,0.33024940125276353,1,0.021700824668019123,0.25,0,1,1,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
0,0,1,1,0.8888888888888888,0,1,0.36169154228855727,0.39419445467944,0,0.00714291785304492,0.5,0,0,0,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False
1,0,1,1,0.041666666666666664,1,0,0.7124378109452736,0.02860169491525424,0,0.2754600314478773,0.5,1,1,0,False,False,True,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False
0,0,0,0,0.5,0,0,0.127363184079602,0.1296921057479735,0,0.00713285637003286,0.125,0,0,0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
0,0,1,1,0.1388888888888889,1,1,0.8159203980099502,0.12258773949889465,1,0.10981181497521646,0.625,1,1,0,False,True,True,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False
0,0,0,0,0.5694444444444444,1,0,0.023880597014925342,0.09616226050110539,0,0.0028203929568087487,0.125,0,0,0,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,True
1,0,1,1,0.375,1,1,0.6661691542288557,0.24774318349299929,0,0.034478529842092806,0.5,0,1,0,False,True,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False
0,0,1,1,0.7777777777777777,1,1,0.8114427860696517,0.6350693165070008,0,0.01844614085040488,0.625,0,1,1,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,True,False,True,False,False
0,0,0,0,0.08333333333333333,1,0,0.024378109452736302,0.012982452100221078,0,0.033414887352246576,0.125,1,0,0,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True
1,0,0,0,0.041666666666666664,1,1,0.5587064676616916,0.026431236182756085,1,0.22752964174918197,0.25,1,1,1,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
0,0,1,1,0.09722222222222221,1,0,0.32288557213930347,0.04034059506263818,0,0.07536228804555695,0.25,1,0,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
0,0,1,1,0.05555555555555555,1,0,0.025870646766169153,0.007242538688282978,0,0.04846542858357061,0.125,1,0,0,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True
1,0,0,0,0.4583333333333333,1,1,0.7034825870646766,0.3486148212969787,0,0.0291837800948436,0.5,0,1,0,False,False,True,False,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False,True,False
0,1,0,0,0.375,1,1,0.5950248756218905,0.24588936993367727,1,0.031309761591092604,0.375,0,1,1,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
1,0,1,0,1.0,1,1,0.0527363184079602,0.19850198047162862,0,0.0007224512345416685,0.25,0,0,0,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False
1,0,0,0,0.013888888888888888,1,0,0.014925373134328346,0.0022740880619012533,0,0.11925969997025203,0.125,1,0,0,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True
1,1,0,0,0.986111111111111,0,1,0.3800995024875622,0.4588879421518055,0,0.006448349458633764,0.5,0,0,0,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,True,True,False,False,True,False
0,0,0,0,0.18055555555555555,1,1,0.6736318407960199,0.13997443809874727,0,0.07290261478778755,0.375,0,1,1,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
