churn_prob,risk_segment,recommended_action
0.943195467193607,High Risk,Assign dedicated support agent
0.9429873921539977,High Risk,Assign dedicated support agent
0.9429631081949286,High Risk,Send onboarding assistance email
0.9429631081949286,High Risk,Send onboarding assistance email
0.9426666503948807,High Risk,Assign dedicated support agent
0.9426614253472587,High Risk,Assign dedicated support agent
0.9426614253472587,High Risk,Assign dedicated support agent
0.9422038255829377,High Risk,Assign dedicated support agent
0.9416835938004675,High Risk,Assign dedicated support agent
0.9411349067649352,High Risk,Assign dedicated support agent
0.9411335794131436,High Risk,Assign dedicated support agent
0.9410463410173067,High Risk,Assign dedicated support agent
0.9410239930293458,High Risk,Assign dedicated support agent
0.9408643181087685,High Risk,Assign dedicated support agent
0.9408579744803724,High Risk,Assign dedicated support agent
0.9408579744803724,High Risk,Assign dedicated support agent
0.9404474436575544,High Risk,Assign dedicated support agent
0.9404055300180575,High Risk,Assign dedicated support agent
0.9403369968107772,High Risk,Assign dedicated support agent
0.9402912873619664,High Risk,Assign dedicated support agent
0.9402176756010557,High Risk,Assign dedicated support agent
0.9398157213963698,High Risk,Assign dedicated support agent
0.939759728006041,High Risk,Assign dedicated support agent
0.9395836952790008,High Risk,Assign dedicated support agent
0.9393431344432027,High Risk,Assign dedicated support agent
0.9385793400306202,High Risk,Assign dedicated support agent
0.9384306796061543,High Risk,Assign dedicated support agent
0.937923980218827,High Risk,Assign dedicated support agent
0.9377881674947427,High Risk,Assign dedicated support agent
0.937747333440808,High Risk,Assign dedicated support agent
0.9375878679756291,High Risk,Assign dedicated support agent
0.937414103127788,High Risk,Assign dedicated support agent
0.937350644200813,High Risk,Assign dedicated support agent
0.9372368198382658,High Risk,Assign dedicated support agent
0.9371331823531185,High Risk,Assign dedicated support agent
0.937130161377624,High Risk,Assign dedicated support agent
0.9370634394415069,High Risk,Assign dedicated support agent
0.9370361090258528,High Risk,Assign dedicated support agent
0.9370361090258528,High Risk,Assign dedicated support agent
0.9370094988092336,High Risk,Assign dedicated support agent
0.9360920311491009,High Risk,Assign dedicated support agent
0.9359453229606055,High Risk,Send onboarding assistance email
0.9359234484599048,High Risk,Assign dedicated support agent
0.9358849138725513,High Risk,Send onboarding assistance email
0.9358659589094654,High Risk,Assign dedicated support agent
0.935673743303431,High Risk,Assign dedicated support agent
0.9356433977616616,High Risk,Assign dedicated support agent
0.9354818945171537,High Risk,Assign dedicated support agent
0.935434809680075,High Risk,Assign dedicated support agent
0.9352093665784941,High Risk,Assign dedicated support agent
0.9342988195625324,High Risk,Assign dedicated support agent
0.9340753003735387,High Risk,Assign dedicated support agent
0.9340516441441561,High Risk,Assign dedicated support agent
0.934019879921107,High Risk,Send onboarding assistance email
0.9339611266605768,High Risk,Assign dedicated support agent
0.9338836522492204,High Risk,Assign dedicated support agent
0.9337560188356616,High Risk,Assign dedicated support agent
0.9330961192726752,High Risk,Assign dedicated support agent
0.9328773706205378,High Risk,Assign dedicated support agent
0.932644684951311,High Risk,Assign dedicated support agent
0.9325747349829228,High Risk,Assign dedicated support agent
0.9325740606538753,High Risk,Assign dedicated support agent
0.9325142804753233,High Risk,Assign dedicated support agent
0.931156178490717,High Risk,Assign dedicated support agent
0.9310726613854505,High Risk,Assign dedicated support agent
0.9306225894419176,High Risk,Assign dedicated support agent
0.9305890517978439,High Risk,Assign dedicated support agent
0.93033800796342,High Risk,Assign dedicated support agent
0.9300995744538806,High Risk,Assign dedicated support agent
0.9299886558691566,High Risk,Assign dedicated support agent
0.9299001034200964,High Risk,Assign dedicated support agent
0.9298772795163626,High Risk,Send onboarding assistance email
0.929456922689876,High Risk,Assign dedicated support agent
0.9291950204691769,High Risk,Assign dedicated support agent
0.9289077428093144,High Risk,Assign dedicated support agent
0.9287259180918199,High Risk,Assign dedicated support agent
0.9282986108626653,High Risk,Assign dedicated support agent
0.9281287765762969,High Risk,Assign dedicated support agent
0.9279806831006968,High Risk,Assign dedicated support agent
0.9278742629642828,High Risk,Assign dedicated support agent
0.927654180367653,High Risk,Assign dedicated support agent
0.9275256538007766,High Risk,Assign dedicated support agent
0.9272630773775888,High Risk,Assign dedicated support agent
0.9267680083681674,High Risk,Send onboarding assistance email
0.9267672742152654,High Risk,Assign dedicated support agent
0.9266546350393754,High Risk,Assign dedicated support agent
0.9266037849052354,High Risk,Assign dedicated support agent
0.9265165079651131,High Risk,Assign dedicated support agent
0.9262350226773002,High Risk,Assign dedicated support agent
0.9259969897257432,High Risk,Send onboarding assistance email
0.9259133396114588,High Risk,Assign dedicated support agent
0.9253851682199067,High Risk,Send onboarding assistance email
0.9251893377796284,High Risk,Assign dedicated support agent
0.9247796438893555,High Risk,Assign dedicated support agent
0.9247098494515599,High Risk,Assign dedicated support agent
0.9240810876287651,High Risk,Assign dedicated support agent
0.9237614040183812,High Risk,Assign dedicated support agent
0.9234245977731287,High Risk,Assign dedicated support agent
0.92300116173062,High Risk,Send onboarding assistance email
0.9230010014444258,High Risk,Assign dedicated support agent
0.9228157572265548,High Risk,Assign dedicated support agent
0.9225572685591708,High Risk,Assign dedicated support agent
0.9224282751181226,High Risk,Assign dedicated support agent
0.9223774207363248,High Risk,Assign dedicated support agent
0.9222014968901759,High Risk,Send onboarding assistance email
0.9218909523348233,High Risk,Assign dedicated support agent
0.9213831010335336,High Risk,Assign dedicated support agent
0.9213684166960853,High Risk,Assign dedicated support agent
0.921260308931177,High Risk,Send onboarding assistance email
0.9211874847802032,High Risk,Send onboarding assistance email
0.920858421838048,High Risk,Assign dedicated support agent
0.9208470576803667,High Risk,Assign dedicated support agent
0.9206482946197994,High Risk,Send onboarding assistance email
0.9201714960399288,High Risk,Assign dedicated support agent
0.9201452393448296,High Risk,Assign dedicated support agent
0.920050704412882,High Risk,Assign dedicated support agent
0.919885909916305,High Risk,Assign dedicated support agent
0.9195855451921332,High Risk,Assign dedicated support agent
0.9195163623276713,High Risk,Assign dedicated support agent
0.9193618305744282,High Risk,Send onboarding assistance email
0.9189597214259834,High Risk,Send onboarding assistance email
0.9188088228886458,High Risk,Assign dedicated support agent
0.9187253860945711,High Risk,Assign dedicated support agent
0.9186624035688291,High Risk,Assign dedicated support agent
0.9183520217277258,High Risk,Assign dedicated support agent
0.9167069010021924,High Risk,Assign dedicated support agent
0.9166213469236668,High Risk,Assign dedicated support agent
0.9162195110813126,High Risk,Assign dedicated support agent
0.9161344375016647,High Risk,Assign dedicated support agent
0.9160881515879733,High Risk,Assign dedicated support agent
0.9160458233978015,High Risk,Assign dedicated support agent
0.9160347429811964,High Risk,Send onboarding assistance email
0.9156816685321543,High Risk,Assign dedicated support agent
0.9153242244895456,High Risk,Assign dedicated support agent
0.9152474779144691,High Risk,Send onboarding assistance email
0.9152032244967901,High Risk,Send onboarding assistance email
0.9151163132676307,High Risk,Send onboarding assistance email
0.9150444399980343,High Risk,Assign dedicated support agent
0.9149783654286016,High Risk,Assign dedicated support agent
0.9149530788233815,High Risk,Assign dedicated support agent
0.9147295793112717,High Risk,Assign dedicated support agent
0.9139465384218526,High Risk,Assign dedicated support agent
0.9138217316626778,High Risk,Assign dedicated support agent
0.9137582718883017,High Risk,Send onboarding assistance email
0.9132062062685633,High Risk,Assign dedicated support agent
0.913020472138087,High Risk,Assign dedicated support agent
0.9128666434327806,High Risk,Assign dedicated support agent
0.9124530559086665,High Risk,Assign dedicated support agent
0.9123938962567454,High Risk,Assign dedicated support agent
0.9120565463511957,High Risk,Assign dedicated support agent
0.9117010094211198,High Risk,Assign dedicated support agent
0.9115443802305145,High Risk,Send onboarding assistance email
0.9115088509735572,High Risk,Send onboarding assistance email
0.9113708536750754,High Risk,Assign dedicated support agent
0.9112563491914684,High Risk,Assign dedicated support agent
0.9109748050443942,High Risk,Assign dedicated support agent
0.9107470034220875,High Risk,Assign dedicated support agent
0.9106947463588384,High Risk,Assign dedicated support agent
0.9103853160455038,High Risk,Assign dedicated support agent
0.910008047811986,High Risk,Assign dedicated support agent
0.9096848375906719,High Risk,Assign dedicated support agent
0.9096715095407248,High Risk,Assign dedicated support agent
0.909574731365597,High Risk,Assign dedicated support agent
0.9084315671613225,High Risk,Assign dedicated support agent
0.9083249743023135,High Risk,Assign dedicated support agent
0.9082307194513052,High Risk,Assign dedicated support agent
0.9080209395886268,High Risk,Assign dedicated support agent
0.9079499541268312,High Risk,Assign dedicated support agent
0.9079180169173421,High Risk,Assign dedicated support agent
0.9074526256755324,High Risk,Assign dedicated support agent
0.907445005553022,High Risk,Assign dedicated support agent
0.9072095033779398,High Risk,Assign dedicated support agent
0.9064755095283132,High Risk,Assign dedicated support agent
0.9062632098506108,High Risk,Assign dedicated support agent
0.9060897732032481,High Risk,Assign dedicated support agent
0.9060727029462747,High Risk,Send onboarding assistance email
0.9060268665033118,High Risk,Assign dedicated support agent
0.9059461494767668,High Risk,Send onboarding assistance email
0.9059461494767668,High Risk,Send onboarding assistance email
0.905873830559297,High Risk,Assign dedicated support agent
0.9055267454271521,High Risk,Assign dedicated support agent
0.9052575563511803,High Risk,Assign dedicated support agent
0.9052194315695746,High Risk,Assign dedicated support agent
0.9048217935216567,High Risk,Assign dedicated support agent
0.9046779342368572,High Risk,Assign dedicated support agent
0.904386923224315,High Risk,Assign dedicated support agent
0.9041730839384818,High Risk,Assign dedicated support agent
0.9041730839384818,High Risk,Assign dedicated support agent
0.90401128569885,High Risk,Assign dedicated support agent
0.9031077520363087,High Risk,Assign dedicated support agent
0.9030719263627551,High Risk,Assign dedicated support agent
0.9029719055581289,High Risk,Assign dedicated support agent
0.9029464684628266,High Risk,Assign dedicated support agent
0.9028216699645359,High Risk,Assign dedicated support agent
0.9025162803245087,High Risk,Assign dedicated support agent
0.902459485530446,High Risk,Send onboarding assistance email
0.9023563357652042,High Risk,Assign dedicated support agent
0.9023236002427122,High Risk,Assign dedicated support agent
0.9019876469399217,High Risk,Send onboarding assistance email
0.9019876469399217,High Risk,Send onboarding assistance email
0.9019871981944767,High Risk,Assign dedicated support agent
0.9017700748415837,High Risk,Assign dedicated support agent
0.9016641711747125,High Risk,Assign dedicated support agent
0.9016311142356984,High Risk,Assign dedicated support agent
0.9014775836110163,High Risk,Assign dedicated support agent
0.9014747933515871,High Risk,Assign dedicated support agent
0.9005335866652259,High Risk,Assign dedicated support agent
0.900267220044165,High Risk,Assign dedicated support agent
0.9001607520984828,High Risk,Assign dedicated support agent
0.9001139312891321,High Risk,Assign dedicated support agent
0.8999790272551127,High Risk,Send onboarding assistance email
0.8999420057081299,High Risk,Assign dedicated support agent
0.8998564170802977,High Risk,Assign dedicated support agent
0.8996739758881658,High Risk,Assign dedicated support agent
0.8995860532760949,High Risk,Assign dedicated support agent
0.8990288453847357,High Risk,Assign dedicated support agent
0.898894684282223,High Risk,Assign dedicated support agent
0.8988938886227728,High Risk,Assign dedicated support agent
0.8988507810539873,High Risk,Assign dedicated support agent
0.8988349715609912,High Risk,Assign dedicated support agent
0.8988216613429608,High Risk,Assign dedicated support agent
0.8987754603986633,High Risk,Assign dedicated support agent
0.898744842326289,High Risk,Assign dedicated support agent
0.8986906257182612,High Risk,Send onboarding assistance email
0.8985366544481426,High Risk,Assign dedicated support agent
0.8985108225850006,High Risk,Assign dedicated support agent
0.8981586761572207,High Risk,Assign dedicated support agent
0.8981015813421118,High Risk,Assign dedicated support agent
0.8980473475880919,High Risk,Assign dedicated support agent
0.8976577427031788,High Risk,Assign dedicated support agent
0.8973398759249346,High Risk,Assign dedicated support agent
0.8971459260555927,High Risk,Assign dedicated support agent
0.8971075652472906,High Risk,Assign dedicated support agent
0.8965457914446587,High Risk,Assign dedicated support agent
0.8960733054789297,High Risk,Assign dedicated support agent
0.8956612272869093,High Risk,Assign dedicated support agent
0.8956404785338151,High Risk,Assign dedicated support agent
0.8948869044805082,High Risk,Assign dedicated support agent
0.8948774574734751,High Risk,Assign dedicated support agent
0.8946521851087712,High Risk,Assign dedicated support agent
0.8945933567978106,High Risk,Assign dedicated support agent
0.8945387389356939,High Risk,Assign dedicated support agent
0.8937427153615536,High Risk,Assign dedicated support agent
0.8937427153615536,High Risk,Assign dedicated support agent
0.8937038562844838,High Risk,Assign dedicated support agent
0.8936438103040936,High Risk,Assign dedicated support agent
0.8933374181214992,High Risk,Assign dedicated support agent
0.8929897195860442,High Risk,Assign dedicated support agent
0.8928124402682688,High Risk,Send onboarding assistance email
0.892739426262699,High Risk,Assign dedicated support agent
0.8925853333627844,High Risk,Assign dedicated support agent
0.8925425446483796,High Risk,Assign dedicated support agent
0.8925366988521546,High Risk,Send onboarding assistance email
0.8923069427657143,High Risk,Assign dedicated support agent
0.8915585368679716,High Risk,Assign dedicated support agent
0.8909814160923858,High Risk,Send onboarding assistance email
0.8905352205791176,High Risk,Assign dedicated support agent
0.890251676511746,High Risk,Assign dedicated support agent
0.8901785369252357,High Risk,Assign dedicated support agent
0.8901414944181731,High Risk,Assign dedicated support agent
0.8898251914305623,High Risk,Assign dedicated support agent
0.8894812376010031,High Risk,Assign dedicated support agent
0.8890571889859521,High Risk,Assign dedicated support agent
0.889037661979668,High Risk,Assign dedicated support agent
0.8889178161044348,High Risk,Assign dedicated support agent
0.8888592976912539,High Risk,Assign dedicated support agent
0.8887086160211654,High Risk,Assign dedicated support agent
0.888021661660803,High Risk,Send onboarding assistance email
0.88758281637231,High Risk,Assign dedicated support agent
0.8874859312445444,High Risk,Send onboarding assistance email
0.8871652981948928,High Risk,Assign dedicated support agent
0.8870347793583616,High Risk,Assign dedicated support agent
0.8863800635159346,High Risk,Assign dedicated support agent
0.8863007496648221,High Risk,Assign dedicated support agent
0.8862667218395022,High Risk,Assign dedicated support agent
0.8858327358862103,High Risk,Assign dedicated support agent
0.8855240877198196,High Risk,Send onboarding assistance email
0.8855218770955698,High Risk,Assign dedicated support agent
0.8854394196081208,High Risk,Assign dedicated support agent
0.8854046042188822,High Risk,Send onboarding assistance email
0.8849388806950662,High Risk,Assign dedicated support agent
0.8845818037425043,High Risk,Assign dedicated support agent
0.8845271902636749,High Risk,Assign dedicated support agent
0.8845014575696523,High Risk,Send onboarding assistance email
0.8842761814120729,High Risk,Assign dedicated support agent
0.8841148747779651,High Risk,Assign dedicated support agent
0.8840857119611593,High Risk,Send onboarding assistance email
0.8837390519710047,High Risk,Assign dedicated support agent
0.8836620085632875,High Risk,Assign dedicated support agent
0.8831349800318606,High Risk,Assign dedicated support agent
0.88302100112694,High Risk,Assign dedicated support agent
0.8826144524236181,High Risk,Assign dedicated support agent
0.8825173787679319,High Risk,Assign dedicated support agent
0.8824593248853574,High Risk,Assign dedicated support agent
0.8824550742268058,High Risk,Assign dedicated support agent
0.882241345705625,High Risk,Assign dedicated support agent
0.8822184307875677,High Risk,Send onboarding assistance email
0.8821618226366685,High Risk,Assign dedicated support agent
0.882038678333259,High Risk,Assign dedicated support agent
0.8819307716187039,High Risk,Assign dedicated support agent
0.8815438538630528,High Risk,Assign dedicated support agent
0.8812459537356925,High Risk,Assign dedicated support agent
0.8805615606307221,High Risk,Assign dedicated support agent
0.8803503420972892,High Risk,Assign dedicated support agent
0.8802810796112649,High Risk,Assign dedicated support agent
0.8802169452469218,High Risk,Assign dedicated support agent
0.879816440773736,High Risk,Assign dedicated support agent
0.8796077454199324,High Risk,Assign dedicated support agent
0.8793735744585826,High Risk,Assign dedicated support agent
0.8785725231645347,High Risk,Send onboarding assistance email
0.8785725231645347,High Risk,Send onboarding assistance email
0.877906434572484,High Risk,Assign dedicated support agent
0.8778566639618827,High Risk,Assign dedicated support agent
0.8778235226271518,High Risk,Assign dedicated support agent
0.877784490859751,High Risk,Assign dedicated support agent
0.8774710006877656,High Risk,Assign dedicated support agent
0.8774706094837765,High Risk,Assign dedicated support agent
0.8773887690030355,High Risk,Assign dedicated support agent
0.8773786660077841,High Risk,Assign dedicated support agent
0.8773343022109121,High Risk,Assign dedicated support agent
0.87724762132916,High Risk,Assign dedicated support agent
0.877065829141009,High Risk,Assign dedicated support agent
0.8762852343878812,High Risk,Assign dedicated support agent
0.8762385227543962,High Risk,Assign dedicated support agent
0.8761021549314857,High Risk,Assign dedicated support agent
0.8758450592733169,High Risk,Send onboarding assistance email
0.8757769274060456,High Risk,Assign dedicated support agent
0.8756018606850161,High Risk,Assign dedicated support agent
0.8753355944653771,High Risk,Assign dedicated support agent
0.8750231297054101,High Risk,Assign dedicated support agent
0.874916149921004,High Risk,Assign dedicated support agent
0.8747113097769988,High Risk,Assign dedicated support agent
0.8745689378452824,High Risk,Assign dedicated support agent
0.8742871729643888,High Risk,Assign dedicated support agent
0.8742618797734685,High Risk,Send onboarding assistance email
0.8741555497014157,High Risk,Assign dedicated support agent
0.8740249868986509,High Risk,Assign dedicated support agent
0.8735187372474005,High Risk,Assign dedicated support agent
0.8734975558232059,High Risk,Assign dedicated support agent
0.8732009427250095,High Risk,Assign dedicated support agent
0.8730151481899852,High Risk,Assign dedicated support agent
0.8728304796164988,High Risk,Assign dedicated support agent
0.8726371975954322,High Risk,Assign dedicated support agent
0.8724139228886549,High Risk,Assign dedicated support agent
0.8723128418599022,High Risk,Assign dedicated support agent
0.8723091738968705,High Risk,Assign dedicated support agent
0.872308309146039,High Risk,Assign dedicated support agent
0.8722921483253936,High Risk,Assign dedicated support agent
0.872110643231555,High Risk,Assign dedicated support agent
0.8718705767215574,High Risk,Assign dedicated support agent
0.8717724470965064,High Risk,Assign dedicated support agent
0.8715986160861833,High Risk,Assign dedicated support agent
0.8715100749050393,High Risk,Assign dedicated support agent
0.8714658860559115,High Risk,Assign dedicated support agent
0.8712590964448529,High Risk,Assign dedicated support agent
0.8712048306679355,High Risk,Assign dedicated support agent
0.8709732460286077,High Risk,Assign dedicated support agent
0.8706163015426212,High Risk,Assign dedicated support agent
0.8705778161397616,High Risk,Assign dedicated support agent
0.8705407422134654,High Risk,Assign dedicated support agent
0.8697572668120077,High Risk,Assign dedicated support agent
0.8690124669467855,High Risk,Assign dedicated support agent
0.8688324517172208,High Risk,Assign dedicated support agent
0.8687340569439922,High Risk,Assign dedicated support agent
0.8686490521137736,High Risk,Assign dedicated support agent
0.8682830537840788,High Risk,Assign dedicated support agent
0.8680589878715257,High Risk,Assign dedicated support agent
0.8677105046536505,High Risk,Assign dedicated support agent
0.8677052369881025,High Risk,Assign dedicated support agent
0.8673732310080517,High Risk,Assign dedicated support agent
0.8668130262201346,High Risk,Assign dedicated support agent
0.8666135151047907,High Risk,Assign dedicated support agent
0.8665846474294631,High Risk,Assign dedicated support agent
0.8660931267657034,High Risk,Assign dedicated support agent
0.8655220831393199,High Risk,Assign dedicated support agent
0.8652821160470991,High Risk,Assign dedicated support agent
0.8651502814643713,High Risk,Assign dedicated support agent
0.8650653825849933,High Risk,Assign dedicated support agent
0.8650124324397361,High Risk,Assign dedicated support agent
0.8648700667101764,High Risk,Assign dedicated support agent
0.8646413786412497,High Risk,Assign dedicated support agent
0.8645773650715192,High Risk,Assign dedicated support agent
0.8644330510261489,High Risk,Assign dedicated support agent
0.8643239883458584,High Risk,Assign dedicated support agent
0.8642052696426922,High Risk,Assign dedicated support agent
0.8641889488363558,High Risk,Assign dedicated support agent
0.8638415576367958,High Risk,Assign dedicated support agent
0.8637869265901987,High Risk,Assign dedicated support agent
0.8635359484294216,High Risk,Assign dedicated support agent
0.8634003039091946,High Risk,Assign dedicated support agent
0.8629123908104862,High Risk,Assign dedicated support agent
0.8627926435255873,High Risk,Assign dedicated support agent
0.8625922933319847,High Risk,Assign dedicated support agent
0.8621984284731706,High Risk,Send onboarding assistance email
0.8621003071345996,High Risk,Assign dedicated support agent
0.8620980112523413,High Risk,Assign dedicated support agent
0.8618714613497496,High Risk,Assign dedicated support agent
0.8613580230273477,High Risk,Assign dedicated support agent
0.8609921835067094,High Risk,Assign dedicated support agent
0.8609469952431098,High Risk,Send onboarding assistance email
0.8607876060854387,High Risk,Assign dedicated support agent
0.8607273521586943,High Risk,Assign dedicated support agent
0.8601742120202577,High Risk,Assign dedicated support agent
0.8599002335120257,High Risk,Assign dedicated support agent
0.8598512907463232,High Risk,Assign dedicated support agent
0.8594861591947632,High Risk,Assign dedicated support agent
0.8594196852811581,High Risk,Assign dedicated support agent
0.8585946280492359,High Risk,Assign dedicated support agent
0.8579424134301984,High Risk,Assign dedicated support agent
0.8575730267303144,High Risk,Send onboarding assistance email
0.8574913536546811,High Risk,Assign dedicated support agent
0.8569022680653652,High Risk,Assign dedicated support agent
0.8564995971997476,High Risk,Assign dedicated support agent
0.8562596665820648,High Risk,Assign dedicated support agent
0.8560768207470403,High Risk,Assign dedicated support agent
0.8560137927776422,High Risk,Assign dedicated support agent
0.855648010936282,High Risk,Send onboarding assistance email
0.8555173409549158,High Risk,Assign dedicated support agent
0.8554560870210216,High Risk,Assign dedicated support agent
0.855272526054142,High Risk,Assign dedicated support agent
0.8550119189186716,High Risk,Assign dedicated support agent
0.854881645623993,High Risk,Send onboarding assistance email
0.8548114016531162,High Risk,Assign dedicated support agent
0.8544750047134992,High Risk,Assign dedicated support agent
0.8539197100447256,High Risk,Assign dedicated support agent
0.8536806305561658,High Risk,Assign dedicated support agent
0.8536558034851699,High Risk,Assign dedicated support agent
0.8534016936876095,High Risk,Assign dedicated support agent
0.853399988112004,High Risk,Assign dedicated support agent
0.8528173179376926,High Risk,Assign dedicated support agent
0.8527067787257514,High Risk,Assign dedicated support agent
0.8522417142963816,High Risk,Assign dedicated support agent
0.852059961282406,High Risk,Assign dedicated support agent
0.8519933381698092,High Risk,Assign dedicated support agent
0.8512859579047017,High Risk,Assign dedicated support agent
0.8509749248213996,High Risk,Assign dedicated support agent
0.8509309134967851,High Risk,Send onboarding assistance email
0.8507479584776841,High Risk,Assign dedicated support agent
0.8504466614704534,High Risk,Assign dedicated support agent
0.8502002729116591,High Risk,Assign dedicated support agent
0.8500399850406637,High Risk,Assign dedicated support agent
0.8499213473497269,High Risk,Assign dedicated support agent
0.8497429856636386,High Risk,Assign dedicated support agent
0.8491344820230126,High Risk,Send onboarding assistance email
0.8489287325527003,High Risk,Assign dedicated support agent
0.8489183050715076,High Risk,Assign dedicated support agent
0.8487433580789017,High Risk,Assign dedicated support agent
0.8485478025671276,High Risk,Send onboarding assistance email
0.8485478025671276,High Risk,Send onboarding assistance email
0.8483119485472881,High Risk,Assign dedicated support agent
0.848254251922641,High Risk,Assign dedicated support agent
0.8482231919041697,High Risk,Assign dedicated support agent
0.8474547946291946,High Risk,Assign dedicated support agent
0.84729674096835,High Risk,Assign dedicated support agent
0.8472093013373118,High Risk,Send onboarding assistance email
0.8468037173890237,High Risk,Assign dedicated support agent
0.8458832950793866,High Risk,Send onboarding assistance email
0.8458044636072826,High Risk,Assign dedicated support agent
0.8456274987669126,High Risk,Assign dedicated support agent
0.8455112571220015,High Risk,Assign dedicated support agent
0.8453030901325647,High Risk,Assign dedicated support agent
0.8448425657235354,High Risk,Send onboarding assistance email
0.8446707097723645,High Risk,Assign dedicated support agent
0.8444526291505643,High Risk,Assign dedicated support agent
0.8442456899966292,High Risk,Assign dedicated support agent
0.8441032170103417,High Risk,Assign dedicated support agent
0.8438472035283473,High Risk,Assign dedicated support agent
0.8434392554044048,High Risk,Assign dedicated support agent
0.8433493893768284,High Risk,Assign dedicated support agent
0.8432138665080021,High Risk,Assign dedicated support agent
0.8428558618758121,High Risk,Assign dedicated support agent
0.8424990529362755,High Risk,Assign dedicated support agent
0.8422154089194304,High Risk,Assign dedicated support agent
0.8419936863939026,High Risk,Assign dedicated support agent
0.8419713193516435,High Risk,Assign dedicated support agent
0.8419701864424751,High Risk,Assign dedicated support agent
0.8419539583988386,High Risk,Assign dedicated support agent
0.8418332682358003,High Risk,Assign dedicated support agent
0.8414923643840925,High Risk,Assign dedicated support agent
0.8412691693866752,High Risk,Assign dedicated support agent
0.8410699740652179,High Risk,Assign dedicated support agent
0.8409311750384815,High Risk,Assign dedicated support agent
0.8404605776932386,High Risk,Assign dedicated support agent
0.8403235048783793,High Risk,Assign dedicated support agent
0.8397320756002398,High Risk,Assign dedicated support agent
0.839688547876367,High Risk,Assign dedicated support agent
0.8394387911912442,High Risk,Send onboarding assistance email
0.83939180457361,High Risk,Assign dedicated support agent
0.8390799160274461,High Risk,Assign dedicated support agent
0.8380028503265031,High Risk,Assign dedicated support agent
0.8378753555560565,High Risk,Assign dedicated support agent
0.8374461168927155,High Risk,Assign dedicated support agent
0.8366596664470807,High Risk,Assign dedicated support agent
0.8363194213062352,High Risk,Assign dedicated support agent
0.8358882614080666,High Risk,Assign dedicated support agent
0.8358335270675838,High Risk,Assign dedicated support agent
